"","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","MSW05_Binomial","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X5.3_NeonateBodyMass_g","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm"
"1","Primates","Pitheciidae","Callicebus","cupreus","Callicebus cupreus",3,1117.02,354.99,0,1201.51100316729,922.999865471728,2616.20157511768,3.37558817836646,2421.15558,129.25,1,0.246974362301553,0.367760577042482,395.41,1.01,0.895537500621773,278.564029049679,73.6,102.593856571429,4.89,11.7114421052519,1201.4584850329,2.05,2.24578559725019,2,1.69053797199494,201.85,876.369862265533,125
"2","Primates","Pitheciidae","Callicebus","discolor","Callicebus discolor",2.99868717782557,3038.67591620574,415.832496659241,0,1570.20664401067,1270.01193126546,3465.00107838164,2.9348677601172,2528.60314,164.170150881426,1.09408042701271,0.276374194456802,0.528142081724446,473.735724182434,1.03243080486887,0.843381762761594,273.397417755792,222.086640345285,103.452370404762,20.9948802241188,14.3403104529478,1463.01941660634,10.5339155368847,2.20611895000854,1.99970538832399,1.67466038096122,234.277861455192,1160.65202531021,125
"3","Primates","Pitheciidae","Callicebus","donacophilus","Callicebus donacophilus",3,897.67,358.443258371314,0,1229.80165184027,881.316278297751,2354.83446487402,3.26221915215898,2421.15558,151.507476409092,1,0.153907515467628,0.269247284218192,396.680264660398,1.02,0.897466585438916,270.800691065902,99.5419978011796,102.303820738095,20.3000564938176,12.0064543458795,1168.17484820684,1,2.22192726391686,2,1.70521611860308,169.471534088463,791.540184236301,125
"4","Primates","Pitheciidae","Callicebus","dubius","Callicebus dubius",3,992.4,358.74580549753,0,1245.47741499245,884.345443166172,2358.54173650864,3.28490703372186,2421.15558,151.530632567059,1,0.158336094070577,0.289038726243916,399.075417958184,1.02,0.897466585438916,272.899727609231,101.442370247238,102.300810738095,20.0784075719135,12.0077293458795,1226.99048922539,1,2.2243717083613,2,1.69895028658935,171.973917065531,795.057884236301,125
"5","Primates","Pitheciidae","Callicebus","hoffmannsi","Callicebus hoffmannsi",3,1067.61,359.475744763803,0,1214.81716537278,851.86752346029,2282.08255594545,3.28233131369026,2421.15558,152.087261790806,1,0.161294463878734,0.279692698279094,396.617409438905,1.02,0.904045134027583,267.916906618326,100.583893376456,102.100038571429,20.4234934060065,11.704581831541,1233.73899871628,1,2.2243717083613,2,1.64742030903769,171.273328246679,788.830843831539,125
"6","Primates","Pitheciidae","Callicebus","lucifer","Callicebus lucifer",2.99868717782557,3038.67591620574,415.832496659241,0,1570.20664401067,1270.01193126546,3465.00107838164,2.9348677601172,2528.60314,164.170150881426,1.09408042701271,0.276374194456802,0.528142081724446,473.735724182434,1.03243080486887,0.843381762761594,273.397417755792,222.086640345285,103.452370404762,20.9948802241188,14.3403104529478,1463.01941660634,10.5339155368847,2.20611895000854,1.99970538832399,1.67466038096122,234.277861455192,1160.65202531021,125
"7","Primates","Pitheciidae","Callicebus","lugens","Callicebus lugens",2.99868717782557,3038.67591620574,415.832496659241,0,1570.20664401067,1270.01193126546,3465.00107838164,2.9348677601172,2528.60314,164.170150881426,1.09408042701271,0.276374194456802,0.528142081724446,473.735724182434,1.03243080486887,0.843381762761594,273.397417755792,222.086640345285,103.452370404762,20.9948802241188,14.3403104529478,1463.01941660634,10.5339155368847,2.20611895000854,1.99970538832399,1.67466038096122,234.277861455192,1160.65202531021,125
"8","Primates","Pitheciidae","Callicebus","medemi","Callicebus medemi",2.99868717782557,3038.67591620574,415.832496659241,0,1570.20664401067,1270.01193126546,3465.00107838164,2.9348677601172,2528.60314,164.170150881426,1.09408042701271,0.276374194456802,0.528142081724446,473.735724182434,1.03243080486887,0.843381762761594,273.397417755792,222.086640345285,103.452370404762,20.9948802241188,14.3403104529478,1463.01941660634,10.5339155368847,2.20611895000854,1.99970538832399,1.67466038096122,234.277861455192,1160.65202531021,125
"9","Primates","Pitheciidae","Callicebus","melanochir","Callicebus melanochir",2.99868717782557,3038.67591620574,415.832496659241,0,1570.20664401067,1270.01193126546,3465.00107838164,2.9348677601172,2528.60314,164.170150881426,1.09408042701271,0.276374194456802,0.528142081724446,473.735724182434,1.03243080486887,0.843381762761594,273.397417755792,222.086640345285,103.452370404762,20.9948802241188,14.3403104529478,1463.01941660634,10.5339155368847,2.20611895000854,1.99970538832399,1.67466038096122,234.277861455192,1160.65202531021,125
"10","Primates","Pitheciidae","Callicebus","modestus","Callicebus modestus",3,992.4,358.74580549753,0,1245.47741499245,884.345443166172,2358.54173650864,3.28490703372186,2421.15558,151.530632567059,1,0.158336094070577,0.289038726243916,399.075417958184,1.02,0.897466585438916,272.899727609231,101.442370247238,102.300810738095,20.0784075719135,12.0077293458795,1226.99048922539,1,2.2243717083613,2,1.69895028658935,171.973917065531,795.057884236301,125
