Measure,variable,z0,c,Family
5,lambda,0.011989857260927841,1.2758349066539822,rodent
5,mu,4.160344816623022e-4,0.8025197827155337,rodent
5,K,6.310357019334841,0.5827044300953209,rodent
5,lambda,0.001483902402086307,1.0505326184026664,primate
5,mu,7.922210385855784e-5,0.7253484662355105,primate
5,K,0.12430855640524327,1.4886214175380847,primate
